0.1      1.00000  1.00000
0.48535  1.06860  1.06860
0.58224  1.09610  1.09610
0.67964  1.11895  1.11895
1.45850  1.21782  1.21782
2.83846  1.33431  1.33431
5.09667  1.46450  1.46450
7.71963  1.58494  1.58494
9.95530  1.67931  1.67931
10.8035  1.70608  1.70608
13.7812  1.79187  1.79187
15.0074  1.82247  1.82247
17.4207  1.88627  1.88627
19.6602  1.93014  1.93014
21.1033  1.95828  1.95828
22.9048  1.98137  1.98137
31.5866  2.08551  2.08551
36.5309  2.13495  2.13495
58.3333  2.19578  2.19578
